Date,Open,High,Low,Close,Volume
03/08/2021,"38.72","52.72","36.53","48.63","254,262,484"
03/05/2021,"32.04","37.88","31.88","34.44","122,934,680"
03/04/2021,"31.25","36.97","28.83","33.09","130,427,564"
03/03/2021,"30.63","31.94","28.28","31.05","77,095,524"
03/02/2021,"29.23","33.30","28.05","29.55","135,132,156"
03/01/2021,"26.14","33.50","24.99","30.10","199,175,876"
02/26/2021,"29.37","35.73","21.50","25.44","368,776,592"
02/25/2021,"42.39","46.17","25.25","27.18","601,235,188"
02/24/2021,"11.18","22.93","11.18","22.93","332,446,968"
02/23/2021,"11.24","11.56","10.00","11.24","30,260,860"
02/22/2021,"11.67","12.13","10.60","11.50","77,904,080"
02/19/2021,"10.32","10.97","9.63","10.15","59,312,960"
02/18/2021,"12.12","12.22","10.16","10.17","95,962,244"
02/17/2021,"12.44","12.80","11.14","11.49","37,043,180"
02/16/2021,"13.17","13.38","12.26","12.38","32,700,120"
02/12/2021,"12.69","13.81","12.01","13.10","58,293,040"
02/11/2021,"12.50","13.83","12.06","12.78","52,226,920"
02/10/2021,"12.69","15.71","11.64","12.80","145,820,156"
02/09/2021,"14.15","14.25","11.63","12.58","107,372,320"
02/08/2021,"18.10","18.17","14.51","15.00","102,749,116"
02/05/2021,"13.51","23.75","12.77","15.94","325,380,032"
02/04/2021,"22.80","22.88","13.33","13.38","249,709,124"
02/03/2021,"28.00","28.35","21.31","23.10","170,794,048"
02/02/2021,"35.19","39.50","18.56","22.50","312,732,280"
02/01/2021,"79.14","80.50","53.00","56.25","149,528,608"
01/29/2021,"94.93","103.50","62.50","81.25","202,264,236"
01/28/2021,"66.25","120.75","28.06","48.40","235,263,236"
01/27/2021,"88.71","95.00","62.25","86.88","373,586,688"
01/26/2021,"22.14","37.50","20.05","37.00","714,352,000"
01/25/2021,"24.18","39.80","15.28","19.20","711,496,000"
01/22/2021,"10.65","19.19","10.58","16.25","788,631,624"
01/21/2021,"9.81","11.19","9.25","10.76","228,319,016"
01/20/2021,"9.34","10.30","9.02","9.78","133,887,156"
01/19/2021,"10.39","11.38","9.16","9.84","298,887,688"
01/15/2021,"9.62","10.19","8.50","8.88","187,465,436"
01/14/2021,"9.52","10.77","8.26","9.98","374,869,624"
01/13/2021,"5.11","9.66","5.01","7.85","578,006,812"
01/12/2021,"4.99","5.10","4.83","4.99","28,242,660"
01/11/2021,"4.85","5.16","4.75","4.99","59,710,440"
01/08/2021,"4.55","4.58","4.27","4.42","25,927,840"
01/07/2021,"4.62","4.86","4.51","4.52","24,517,104"
01/06/2021,"4.34","4.75","4.33","4.59","24,224,992"
01/05/2021,"4.34","4.52","4.31","4.34","19,845,828"
01/04/2021,"4.75","4.78","4.29","4.31","40,089,880"
12/31/2020,"4.81","4.95","4.70","4.71","27,690,608"
12/30/2020,"4.85","5.00","4.71","4.82","23,737,564"
12/29/2020,"5.21","5.27","4.64","4.85","36,965,764"
12/28/2020,"5.33","5.49","5.09","5.25","35,863,432"
12/24/2020,"5.25","5.37","4.99","5.04","25,048,696"
12/23/2020,"5.04","5.59","4.78","5.14","103,321,040"
12/22/2020,"4.06","5.01","4.04","4.87","122,750,884"
12/21/2020,"3.95","4.09","3.82","3.88","39,504,512"
12/18/2020,"3.95","4.08","3.80","3.91","66,475,116"
12/17/2020,"3.49","3.75","3.40","3.71","32,779,608"
12/16/2020,"3.49","3.58","3.40","3.46","23,460,492"
12/15/2020,"3.20","3.51","3.12","3.46","32,771,424"
12/14/2020,"3.34","3.36","3.04","3.18","40,028,360"
12/11/2020,"3.48","3.50","3.26","3.33","29,987,472"
12/10/2020,"3.28","3.60","3.26","3.53","30,235,688"
12/09/2020,"3.48","3.68","3.31","3.42","97,431,756"
12/08/2020,"4.09","4.30","3.98","4.24","64,480,640"
12/07/2020,"4.25","4.38","4.06","4.09","29,545,032"
12/04/2020,"4.08","4.32","4.07","4.23","35,890,688"
12/03/2020,"4.12","4.16","3.97","4.03","25,179,860"
